t1_s t1_ns t4_s t4_ns dt_s dt_ns dt_T addend corr_ppb mpd_ns sync_period_ns
19475 769934577 19471 705499614 0       -11 -1 4260833958 20.141142 3687 080029972
19475 849961849 19471 705499614 0        -9 -1 4260833973 3.556986 3687 080027272
19475 929984565 19471 705499614 0       -43 -7 4260834705 171.868179 3687 080022716
19476 009936325 19471 705499614 0       -19 -3 4260834438 -62.735744 3687 079951760
19476 089968537 19472 830488481 0       -51 -8 4260835180 174.149963 3727 080032212
19476 169938861 19472 830488481 0       -33 -5 4260835075 -24.765709 3727 079970324
19476 249964777 19472 830488481 0        -3 0 4260834636 -103.197578 3727 080025916
19476 329999689 19472 830488481 0        15 2 4260834288 -81.774353 3727 080034912
19476 410032933 19472 830488481 0        25 4 4260834011 -65.183846 3727 080033244
19476 489966229 19472 830488481 0        27 4 4260833844 -39.265762 3727 079933296
19476 570013685 19472 830488481 0        25 4 4260833749 -22.376919 3727 080047456
19476 649985180 19472 830488481 0        24 3 4260833643 -24.990044 3727 079971495
19476 729974632 19472 830488481 0        22 3 4260833563 -18.952635 3727 079989452
19476 810081104 19472 830488481 0        20 3 4260833493 -16.463686 3727 080106472
19476 890007112 19472 830488481 0        15 2 4260833493 -0.160395 3727 079926008
19476 969997008 19472 830488481 0         9 1 4260833538 10.714233 3727 079989896
19477 049998692 19472 830488481 0       -35 -5 4260834381 197.995178 3727 080001684
19477 130085996 19472 830488481 0       -31 -5 4260834476 22.370604 3727 080087304
19477 210023624 19473 955476228 0        27 4 4260833461 -238.269272 3683 079937628
19477 290093600 19473 955476228 0        21 3 4260833447 -3.395061 3683 080069976
19477 370077852 19473 955476228 0        13 2 4260833502 12.963907 3683 079984252
19477 450066236 19473 955476228 0        13 2 4260833437 -15.412392 3683 079988384
19477 530038264 19473 955476228 0         7 1 4260833492 13.036270 3683 079972028
19477 610058476 19473 955476228 0        -5 0 4260833699 48.613064 3683 080020212
19477 690152063 19473 955476228 0         0 0 4260833624 -17.781086 3683 080093587
19477 770083635 19473 955476228 0       -10 -1 4260833826 47.461124 3683 079931572
19477 850113951 19473 955476228 0        -4 0 4260833756 -16.636461 3683 080030316
19477 930076691 19473 955476228 0       -12 -1 4260833937 42.711712 3683 079962740
19478 010130107 19473 955476228 0       -10 -1 4260833956 4.691095 3683 080053416
19478 090128047 19473 955476228 0       -42 -6 4260834653 163.640625 3683 079997940
