t1_s t1_ns t4_s t4_ns dt_s dt_ns dt_T addend corr_ppb mpd_ns sync_period_ns
19916 794394959 19912 842201643 0        -9 -1 3579221971 117.319824 1962 080061192
19916 874309858 19912 842201643 0        17 3 3579221568 -112.683228 1962 079914899
19916 954333210 19912 842201643 0       -13 -2 3579222005 122.165451 1962 080023352
19917 034381834 19912 842201643 0         7 1 3579221721 -79.405014 1962 080048624
19917 114363274 19912 842201643 0        12 2 3579221607 -32.038773 1962 079981440
19917 194338810 19912 842201643 0       -13 -2 3579221980 104.358498 1962 079975536
19917 274337102 19913 967227762 0         4 0 3579221747 -65.222122 1960 079998292
19917 354366746 19913 967227762 0       -21 -4 3579222154 113.783852 1960 080029644
19917 434357790 19913 967227762 0         4 0 3579221819 -93.635574 1960 079991044
19917 514412954 19913 967227762 0        19 3 3579221548 -75.818504 1960 080055164
19917 594413478 19913 967227762 0        -6 -1 3579221891 95.986412 1960 080000524
19917 674423414 19913 967227762 0         9 1 3579221662 -64.017281 1960 080009936
19917 754506498 19913 967227762 0       -21 -4 3579222132 131.504608 1960 080083084
19917 834380114 19913 967227762 0         9 1 3579221712 -117.349052 1960 079873616
19917 914398498 19913 967227762 0       -21 -4 3579222183 131.631165 1960 080018384
19917 994408605 19913 967227762 0         5 1 3579221831 -98.385170 1960 080010107
19918 074494633 19913 967227762 0        12 2 3579221692 -39.069077 1960 080086028
19918 154505245 19913 967227762 0       -13 -2 3579222065 104.279373 1960 080010612
19918 254455733 19913 967227762 0        17 3 3579221661 -112.992218 1960 099950488
19918 334468093 19915 092253649 0       -17 -3 3579222122 129.005753 1964 080012360
19918 414499285 19915 092253649 0         8 1 3579221770 -98.383270 1964 080031192
19918 494441525 19915 092253649 0       -17 -3 3579222160 109.115532 1964 079942240
19918 584456373 19915 092253649 0       -12 -2 3579222125 -10.031957 1964 090014848
19918 664477457 19915 092253649 0        18 3 3579221684 -123.275627 1964 080021084
19918 744801209 19915 092253649 0        13 2 3579221693 2.603648 1964 080323752
19918 824582745 19915 092253649 0        -2 0 3579221891 55.550388 1964 079781536
19918 904460777 19915 092253649 0        23 4 3579221475 -116.360031 1964 079878032
19918 984545253 19915 092253649 0       -12 -2 3579221971 138.791107 1964 080084476
19919 064500844 19915 092253649 0        14 2 3579221581 -109.061668 1964 079955591
19919 144487792 19915 092253649 0       -24 -4 3579222166 163.656113 1964 079986948
19919 224550828 19915 092253649 0        -4 0 3579221929 -66.426354 1964 080063036
19919 304513700 19915 092253649 0        16 3 3579221607 -90.125824 1964 079962872
19919 384499912 19915 092253649 0        -9 -1 3579221963 99.622315 1964 079986212
19919 464536880 19916 217279420 0        18 3 3579221544 -117.344238 1952 080036968
19919 544634196 19916 217279420 0       -12 -2 3579221976 120.843643 1952 080097316
19919 624529696 19916 217279420 0        13 2 3579221603 -104.350159 1952 079895500
19919 704548504 19916 217279420 0       -17 -3 3579222057 126.902504 1952 080018808
19919 784685840 19916 217279420 0        -2 0 3579221875 -50.989609 1952 080137336
19919 864554640 19916 217279420 0        23 4 3579221459 -116.339920 1952 079868800
19919 934549880 19916 217279420 0        13 2 3579221499 11.363154 1952 069995240
19920 014545644 19916 217279420 0       -17 -3 3579221976 133.471329 1952 079995764
19920 104643695 19916 217279420 0       -16 -3 3579222000 6.975312 1952 090098051
19920 204617883 19916 217279420 0         3 0 3579221774 -63.164085 1952 099974188
19920 274591379 19916 217279420 0        -2 0 3579221842 19.188940 1952 069973496
19920 384652399 19916 217279420 0        -2 0 3579221838 -1.276492 1952 110061020
19920 484655727 19916 217279420 0       -17 -3 3579222054 60.522171 1952 100003328
19920 564615599 19916 217279420 0         3 0 3579221830 -62.602398 1952 079959872
19920 644605835 19917 342305435 0       -25 -5 3579222292 129.248367 1960 079990236
19920 724617659 19917 342305435 0         5 1 3579221889 -112.640152 1960 080011824
19920 804657611 19917 342305435 0       -20 -4 3579222291 112.585999 1960 080039952
19920 884656759 19917 342305435 0         5 1 3579221952 -94.812218 1960 079999148
19920 964644843 19917 342305435 0       -15 -3 3579222270 88.929306 1960 079988084
19921 044635751 19917 342305435 0        15 3 3579221825 -124.502289 1960 079990908
19921 124640191 19917 342305435 0        35 7 3579221422 -112.616608 1960 080004440
19921 204727938 19917 342305435 0        -4 0 3579221935 143.441742 1960 080087747
19921 284663458 19917 342305435 0        15 3 3579221630 -85.399056 1960 079935520
19921 364670710 19917 342305435 0       -15 -3 3579222075 124.524880 1960 080007252
19921 444661830 19917 342305435 0        10 2 3579221715 -100.775040 1960 079991120
