t1_s t1_ns t4_s t4_ns dt_s dt_ns dt_T addend corr_ppb mpd_ns sync_period_ns
19293 625779367 19289 929035059 0       -24 0 4190300749 137.349228 1602 081072332
19293 704697155 19289 929035059 0        17 0 4190300055 -165.780167 1602 078917788
19293 784674643 19289 929035059 0        26 0 4190299796 -62.040604 1602 079977488
19293 865788759 19289 929035059 0         0 0 4190300184 92.605461 1602 081114116
19293 945808427 19289 929035059 0        -3 0 4190300243 14.223913 1602 080019668
19294 024684903 19289 929035059 0        -1 0 4190300219 -5.851220 1602 078876476
19294 095807166 19289 929035059 0       -26 0 4190300780 133.891434 1602 071122263
19294 175834774 19289 929035059 0       -20 0 4190300742 -9.205031 1602 080027608
19294 255747486 19289 929035059 0       -15 0 4190300742 0.102228 1602 079912712
19294 334717658 19291 054058786 0         5 0 4190300418 -77.351425 1590 078970172
19294 415790914 19291 054058786 0         8 0 4190300337 -19.441797 1590 081073256
19294 494703382 19291 054058786 0        -3 0 4190300514 42.454582 1590 078912468
19294 575779274 19291 054058786 0         7 0 4190300332 -43.620415 1590 081075892
19294 655776554 19291 054058786 0         7 0 4190300296 -8.630658 1590 079997280
19294 735846238 19291 054058786 0        -1 0 4190300420 29.638638 1590 080069684
19294 814667014 19291 054058786 0       -16 0 4190300727 73.372978 1590 078820776
19294 894665602 19291 054058786 0        28 0 4190299929 -190.548508 1590 079998588
19294 974717138 19291 054058786 0        -6 0 4190300465 128.034180 1590 080051536
19295 055811114 19291 054058786 0        -2 0 4190300415 -11.983258 1590 081093976
19295 135871918 19291 054058786 0        28 0 4190299830 -139.711746 1590 080060804
19295 214675701 19291 054058786 0       -18 0 4190300609 185.950256 1590 078803783
19295 295894933 19291 054058786 0         1 0 4190300317 -69.750114 1590 081219232
19295 375833833 19291 054058786 0       -21 0 4190300749 103.163139 1590 079938900
19295 455842125 19292 179082637 0        17 0 4190300098 -155.362869 1591 080008292
19295 534683365 19292 179082637 0         8 0 4190300189 21.936976 1591 078841240
19295 615893049 19292 179082637 0        17 0 4190299977 -50.608204 1591 081209684
19295 695879681 19292 179082637 0       -10 0 4190300425 106.994881 1591 079986632
19295 774672633 19292 179082637 0         1 0 4190300256 -40.340080 1591 078792952
19295 855887461 19292 179082637 0       -17 0 4190300604 83.126679 1591 081214828
19295 934683441 19292 179082637 0         0 0 4190300355 -59.489193 1591 078795980
19296 015920161 19292 179082637 0        -7 0 4190300492 32.731720 1591 081236720
19296 094724061 19292 179082637 0       -27 0 4190300933 105.343170 1591 078803900
19296 176182321 19292 179082637 0        -3 0 4190300583 -83.640213 1591 081458260
19296 255906476 19292 179082637 0       -10 0 4190300738 37.098297 1591 079724155
19296 334731364 19292 179082637 0        42 1 4190299743 -237.560638 1591 078824888
19296 416005504 19292 179082637 0        27 0 4190299850 25.607632 1591 081274140
19296 494696324 19292 179082637 0        21 0 4190299822 -6.710392 1591 078690820
19296 575941144 19293 304106244 0        -2 0 4190300179 85.380722 1591 081244820
19296 655952516 19293 304106244 0        11 0 4190299932 -59.163967 1591 080011372
19296 736002936 19293 304106244 0       -20 0 4190300493 133.913605 1591 080050420
19296 814666740 19293 304106244 0       -27 0 4190300740 59.049377 1591 078663804
19296 895968856 19293 304106244 0       -15 0 4190300624 -27.704075 1591 081302116
19296 976016492 19293 304106244 0        -7 0 4190300544 -19.321314 1591 080047636
19297 055967564 19293 304106244 0        15 0 4190300142 -96.057137 1591 079951072
19297 135970256 19293 304106244 0       -13 0 4190300624 115.033524 1591 080002692
19297 215993244 19293 304106244 0        -5 0 4190300530 -22.532068 1591 080022988
19297 296120147 19293 304106244 0        14 0 4190300178 -84.077583 1591 080126903
19297 376200915 19293 304106244 0        17 0 4190300049 -30.825481 1591 080080768
19297 455999963 19293 304106244 0       -12 0 4190300541 117.432541 1591 079799048
19297 536043835 19293 304106244 0        24 0 4190299886 -156.550369 1591 080043872
19297 614720399 19293 304106244 0       -33 0 4190300908 244.123657 1591 078676564
19297 696118875 19294 429129967 0        17 0 4190300075 -198.861435 1578 081398476
19297 774686703 19294 429129967 0        18 0 4190299960 -27.452990 1578 078567828
19297 856032251 19294 429129967 0        -8 0 4190300390 102.638573 1578 081345548
19297 934677243 19294 429129967 0        -9 0 4190300454 15.412276 1578 078644992
19298 016045743 19294 429129967 0        -7 0 4190300454 0.075846 1578 081368500
19298 096102999 19294 429129967 0        -2 0 4190300392 -15.001629 1578 080057256
19298 176118819 19294 429129967 0         6 0 4190300244 -35.557674 1578 080015820
19298 256080183 19294 429129967 0        -5 0 4190300432 45.058075 1578 079961364
19298 334716463 19294 429129967 0        25 0 4190299853 -138.219330 1578 078636280
19298 416199770 19294 429129967 0        -2 0 4190300271 99.921791 1578 081483307
19298 494684354 19294 429129967 0        -8 0 4190300403 31.639507 1578 078484584
19298 576158986 19294 429129967 0        -9 0 4190300457 12.924266 1578 081474632
19298 656096822 19294 429129967 0        -3 0 4190300385 -17.192406 1578 079937836
19298 736181362 19294 429129967 0        10 0 4190300142 -58.057251 1578 080084540
19298 814687366 19295 554153686 0        11 0 4190300069 -17.602284 1571 078506004
19298 896178410 19295 554153686 0        12 0 4190300002 -16.021971 1571 081491044
19298 974731170 19295 554153686 0       -26 0 4190300702 167.231766 1571 078552760
